visit_places,rating,visit_place_summary,best_time,state_name,no_of_turist_attration,tokenized_summary
pilibhit,2.0,pilibhit quaint little town cloaked dense forest state uttar pradesh also called basuri nagri land flutes large scale production flutes undertaken city picturesque beauty number skillfully built temples,september to march,uttar pradesh,,"['pilibhit', 'quaint', 'little', 'town', 'cloaked', 'dense', 'forest', 'state', 'uttar', 'pradesh', 'also', 'called', 'basuri', 'nagri', 'land', 'flutes', 'large', 'scale', 'production', 'flutes', 'undertaken', 'city', 'picturesque', 'beauty', 'number', 'skillfully', 'built', 'temples']"
bateshwar temples,3.6,backstory ironic infinite calm offer bateshwar temples situated ghats chambal believed infamous sought dacoits chambal region made hiding place complex shoddy shape archae,,uttar pradesh,,"['backstory', 'ironic', 'infinite', 'calm', 'offer', 'bateshwar', 'temples', 'situated', 'ghats', 'chambal', 'believed', 'infamous', 'sought', 'dacoits', 'chambal', 'region', 'made', 'hiding', 'place', 'complex', 'shoddy', 'shape', 'archae']"
dewa sharif,,situated barabanki district uttar pradesh 25 kms away lucknow dewa dewa sharif small town renowned world wide shrine haji waris ali shah considered prominent site muslim heritage shrine also mosque khankah within premises,,uttar pradesh,,"['situated', 'barabanki', 'district', 'uttar', 'pradesh', '25', 'kms', 'away', 'lucknow', 'dewa', 'dewa', 'sharif', 'small', 'town', 'renowned', 'world', 'wide', 'shrine', 'haji', 'waris', 'ali', 'shah', 'considered', 'prominent', 'site', 'muslim', 'heritage', 'shrine', 'also', 'mosque', 'khankah', 'within', 'premises']"
bithoor,,bithoor quaint little town nestled away kanpur district uttar pradesh acclaimed important hub pilgrimage hindus along religious significance bithoor also good share historical places interest bithoor immersed local legends religious,,uttar pradesh,,"['bithoor', 'quaint', 'little', 'town', 'nestled', 'away', 'kanpur', 'district', 'uttar', 'pradesh', 'acclaimed', 'important', 'hub', 'pilgrimage', 'hindus', 'along', 'religious', 'significance', 'bithoor', 'also', 'good', 'share', 'historical', 'places', 'interest', 'bithoor', 'immersed', 'local', 'legends', 'religious']"
nawabganj bird sanctuary,,also known shahid chandra shekhar azad bird sanctuary nawabganj bird sanctuary located unnao near lucknow engulfed dense forests bird sanctuary home 250 species birds also great place spot wildlife,,uttar pradesh,,"['also', 'known', 'shahid', 'chandra', 'shekhar', 'azad', 'bird', 'sanctuary', 'nawabganj', 'bird', 'sanctuary', 'located', 'unnao', 'near', 'lucknow', 'engulfed', 'dense', 'forests', 'bird', 'sanctuary', 'home', '250', 'species', 'birds', 'also', 'great', 'place', 'spot', 'wildlife']"
pilibhit,,pilibhit quaint little town cloaked dense forest state uttar pradesh also called basuri nagri land flutes large scale production flutes undertaken city picturesque beauty number skillfully built templ,,uttar pradesh,,"['pilibhit', 'quaint', 'little', 'town', 'cloaked', 'dense', 'forest', 'state', 'uttar', 'pradesh', 'also', 'called', 'basuri', 'nagri', 'land', 'flutes', 'large', 'scale', 'production', 'flutes', 'undertaken', 'city', 'picturesque', 'beauty', 'number', 'skillfully', 'built', 'templ']"
fort of unchagaon,,fort unchagaon exceptional heritage resort also spectacular weekend getaway situated majestically village unchagaon close garh mukteshwar moradabad – new delhi national highway state uttar pradesh,,uttar pradesh,,"['fort', 'unchagaon', 'exceptional', 'heritage', 'resort', 'also', 'spectacular', 'weekend', 'getaway', 'situated', 'majestically', 'village', 'unchagaon', 'close', 'garh', 'mukteshwar', 'moradabad', '–', 'new', 'delhi', 'national', 'highway', 'state', 'uttar', 'pradesh']"
naimisharanya,,located banks gomti river sitapur district northern state uttar pradesh naimisharanya revered hindu temple enshrined god vishnu also known nimsar neemsar nimkhar one ‘ divya desams ’ ie one 108 vishnu temples mentioned works,,uttar pradesh,,"['located', 'banks', 'gomti', 'river', 'sitapur', 'district', 'northern', 'state', 'uttar', 'pradesh', 'naimisharanya', 'revered', 'hindu', 'temple', 'enshrined', 'god', 'vishnu', 'also', 'known', 'nimsar', 'neemsar', 'nimkhar', 'one', '‘', 'divya', 'desams', '’', 'ie', 'one', '108', 'vishnu', 'temples', 'mentioned', 'works']"
rishikesh,4.3,located foothills himalayas along convergence ganga chandrabhaga river rishikesh small town dehradun district located close haridwar uttarakhand rishikesh also called hrishikesh known adventure activities ancient temples popular ca,throughout the year,uttarakhand,53,"['located', 'foothills', 'himalayas', 'along', 'convergence', 'ganga', 'chandrabhaga', 'river', 'rishikesh', 'small', 'town', 'dehradun', 'district', 'located', 'close', 'haridwar', 'uttarakhand', 'rishikesh', 'also', 'called', 'hrishikesh', 'known', 'adventure', 'activities', 'ancient', 'temples', 'popular', 'ca']"
auli,4.2,auli nestled chamoli district uttarakhand india premier destination winter sports enthusiasts nature lovers known stunning snowcovered slopes auli paradise skiers snowboarders situated altitude 2800 meters offers breathtaking views,december - february,uttarakhand,12,"['auli', 'nestled', 'chamoli', 'district', 'uttarakhand', 'india', 'premier', 'destination', 'winter', 'sports', 'enthusiasts', 'nature', 'lovers', 'known', 'stunning', 'snowcovered', 'slopes', 'auli', 'paradise', 'skiers', 'snowboarders', 'situated', 'altitude', '2800', 'meters', 'offers', 'breathtaking', 'views']"
nainital,4.3,nainital picturesque hill station kumaon region uttarakhand known serene lakes lush green hills pleasant climate located approximately 300 kilometers delhi nainital town centered around emeraldgreen naini lake offers boating opportunities aga,throughout the year,uttarakhand,33,"['nainital', 'picturesque', 'hill', 'station', 'kumaon', 'region', 'uttarakhand', 'known', 'serene', 'lakes', 'lush', 'green', 'hills', 'pleasant', 'climate', 'located', 'approximately', '300', 'kilometers', 'delhi', 'nainital', 'town', 'centered', 'around', 'emeraldgreen', 'naini', 'lake', 'offers', 'boating', 'opportunities', 'aga']"
dehradun,3.9,dehradun capital city largest city uttarakhand dehradun located altitude 1400 feet sea level pleasant climate year round located 30kms mussoorie dehradun known gateway mussoorie rishikesh haridwar dehradun also k,throughout the year,uttarakhand,37,"['dehradun', 'capital', 'city', 'largest', 'city', 'uttarakhand', 'dehradun', 'located', 'altitude', '1400', 'feet', 'sea', 'level', 'pleasant', 'climate', 'year', 'round', 'located', '30kms', 'mussoorie', 'dehradun', 'known', 'gateway', 'mussoorie', 'rishikesh', 'haridwar', 'dehradun', 'also', 'k']"
mussoorie,4.1,mussoorie often referred queen hills picturesque hill station located dehradun district uttarakhand india perched altitude approximately 2000 meters 6600 feet sea level mussoorie offers breathtaking views shivalik ranges doon v,september to june,uttarakhand,36,"['mussoorie', 'often', 'referred', 'queen', 'hills', 'picturesque', 'hill', 'station', 'located', 'dehradun', 'district', 'uttarakhand', 'india', 'perched', 'altitude', 'approximately', '2000', 'meters', '6600', 'feet', 'sea', 'level', 'mussoorie', 'offers', 'breathtaking', 'views', 'shivalik', 'ranges', 'doon', 'v']"
haridwar,4.0,haridwar one seven holiest cities india situated uttarakhand located sacred river ganga enters indogangetic plains first time dotted temples ashrams narrow lanes across city haridwar famous hindu temple town millions,throughout the year,uttarakhand,36,"['haridwar', 'one', 'seven', 'holiest', 'cities', 'india', 'situated', 'uttarakhand', 'located', 'sacred', 'river', 'ganga', 'enters', 'indogangetic', 'plains', 'first', 'time', 'dotted', 'temples', 'ashrams', 'narrow', 'lanes', 'across', 'city', 'haridwar', 'famous', 'hindu', 'temple', 'town', 'millions']"
jim corbett national park,4.0,jim corbett national park oldest national park set amidst foothills himalayas nainital district uttarakhand known housing endangered bengal tiger corbett national park part larger corbett tiger reserve,mid october to mid june,uttarakhand,19,"['jim', 'corbett', 'national', 'park', 'oldest', 'national', 'park', 'set', 'amidst', 'foothills', 'himalayas', 'nainital', 'district', 'uttarakhand', 'known', 'housing', 'endangered', 'bengal', 'tiger', 'corbett', 'national', 'park', 'part', 'larger', 'corbett', 'tiger', 'reserve']"
char dham yatra,4.9,char dham translates four abodes holds significant spiritual prominence india located majestic state uttarakhand pilgrimage circuit encompasses four sacred sites yamunotri gangotri kedarnath badrinath destinations deeply intertwined hin,"may - june, september - october",uttarakhand,,"['char', 'dham', 'translates', 'four', 'abodes', 'holds', 'significant', 'spiritual', 'prominence', 'india', 'located', 'majestic', 'state', 'uttarakhand', 'pilgrimage', 'circuit', 'encompasses', 'four', 'sacred', 'sites', 'yamunotri', 'gangotri', 'kedarnath', 'badrinath', 'destinations', 'deeply', 'intertwined', 'hin']"
lansdowne,3.9,lansdowne quaint little hill town located distance 258 km delhi pauri district uttarakhand laden oak pine forest dotted buildings colonial era hill station bird watchers casual hikers weekenders ncr,throughout the year,uttarakhand,14,"['lansdowne', 'quaint', 'little', 'hill', 'town', 'located', 'distance', '258', 'km', 'delhi', 'pauri', 'district', 'uttarakhand', 'laden', 'oak', 'pine', 'forest', 'dotted', 'buildings', 'colonial', 'era', 'hill', 'station', 'bird', 'watchers', 'casual', 'hikers', 'weekenders', 'ncr']"
mukteshwar,4.5,mukteshwar small hill town located around 50 km nainital uttarakhand known adventure sports dazzling view himalayan ranges mukteshwar named 350yearold shiva temple housed called mukteshwar dham,october to june,uttarakhand,12,"['mukteshwar', 'small', 'hill', 'town', 'located', 'around', '50', 'km', 'nainital', 'uttarakhand', 'known', 'adventure', 'sports', 'dazzling', 'view', 'himalayan', 'ranges', 'mukteshwar', 'named', '350yearold', 'shiva', 'temple', 'housed', 'called', 'mukteshwar', 'dham']"
chopta,4.6,chopta small hamlet located uttarakhand trekkers heaven base camp treks like tugnanath deoria tal chandrashila chopta ideal destination intermediate trekkers go guided trek brush skills chopta promises lifealtering expansion,march to june,uttarakhand,5,"['chopta', 'small', 'hamlet', 'located', 'uttarakhand', 'trekkers', 'heaven', 'base', 'camp', 'treks', 'like', 'tugnanath', 'deoria', 'tal', 'chandrashila', 'chopta', 'ideal', 'destination', 'intermediate', 'trekkers', 'go', 'guided', 'trek', 'brush', 'skills', 'chopta', 'promises', 'lifealtering', 'expansion']"
kedarnath,4.5,kedarnath one sacred temples holiest hindu pilgrimages india part chhota char dham yatra uttarakhand kedarnath one important among 12 jyotirlingas india dedicated lord shiva located garhwal himalayan range rud,"may to june, september to october",uttarakhand,14,"['kedarnath', 'one', 'sacred', 'temples', 'holiest', 'hindu', 'pilgrimages', 'india', 'part', 'chhota', 'char', 'dham', 'yatra', 'uttarakhand', 'kedarnath', 'one', 'important', 'among', '12', 'jyotirlingas', 'india', 'dedicated', 'lord', 'shiva', 'located', 'garhwal', 'himalayan', 'range', 'rud']"
badrinath,4.3,badrinath known sacred badrinath temple dedicated lord vishnu one four char dham chota char dham pilgrimage yatras perched garhwal hill tracks near alaknanda river badrinath situated chamoli district uttarakhand placed nar,"may to june, september to october",uttarakhand,19,"['badrinath', 'known', 'sacred', 'badrinath', 'temple', 'dedicated', 'lord', 'vishnu', 'one', 'four', 'char', 'dham', 'chota', 'char', 'dham', 'pilgrimage', 'yatras', 'perched', 'garhwal', 'hill', 'tracks', 'near', 'alaknanda', 'river', 'badrinath', 'situated', 'chamoli', 'district', 'uttarakhand', 'placed', 'nar']"
gangotri,4.8,gangotri dham origin holy river ganga located uttarkashi district uttarakhand one revered pilgrimages india part famous chhota char dham yatra including yamunotri kedarnath badrinath,"april to june, september to november",uttarakhand,20,"['gangotri', 'dham', 'origin', 'holy', 'river', 'ganga', 'located', 'uttarkashi', 'district', 'uttarakhand', 'one', 'revered', 'pilgrimages', 'india', 'part', 'famous', 'chhota', 'char', 'dham', 'yatra', 'including', 'yamunotri', 'kedarnath', 'badrinath']"
yamunotri,4.6,yamunotri source river yamuna situated 30 km uttarkashi uttarakhand one revered pilgrimages india part famous chhota char dham yatra including gangotri kedarnath badrinath main attraction yamunotri temple dedicated,"may to june, september to november",uttarakhand,9,"['yamunotri', 'source', 'river', 'yamuna', 'situated', '30', 'km', 'uttarkashi', 'uttarakhand', 'one', 'revered', 'pilgrimages', 'india', 'part', 'famous', 'chhota', 'char', 'dham', 'yatra', 'including', 'gangotri', 'kedarnath', 'badrinath', 'main', 'attraction', 'yamunotri', 'temple', 'dedicated']"
valley of flowers,4.6,valley flowers located chamoli district near badrinath uttarakhand approximately 300 km north rishikesh valley flowers world heritage site wild untamed blooms surrounded white peaks open june september every year,may to october,uttarakhand,3,"['valley', 'flowers', 'located', 'chamoli', 'district', 'near', 'badrinath', 'uttarakhand', 'approximately', '300', 'km', 'north', 'rishikesh', 'valley', 'flowers', 'world', 'heritage', 'site', 'wild', 'untamed', 'blooms', 'surrounded', 'white', 'peaks', 'open', 'june', 'september', 'every', 'year']"
kausani,3.9,kausani hill station located bageshwar district uttarakhand 51km almora panoramic snowclad view himalayas kausani dominated trisul nanda devi panchuli peaks,"april to june, september to december",uttarakhand,11,"['kausani', 'hill', 'station', 'located', 'bageshwar', 'district', 'uttarakhand', '51km', 'almora', 'panoramic', 'snowclad', 'view', 'himalayas', 'kausani', 'dominated', 'trisul', 'nanda', 'devi', 'panchuli', 'peaks']"
almora,4.0,set background snowcapped himalayan ranges uttarakhand sprawling town almora beautiful hill station easy accessibility delhi major cities north india almora known rich cultural heritage unique handicrafts sumptuous cuisine magnific,throughout the year,uttarakhand,16,"['set', 'background', 'snowcapped', 'himalayan', 'ranges', 'uttarakhand', 'sprawling', 'town', 'almora', 'beautiful', 'hill', 'station', 'easy', 'accessibility', 'delhi', 'major', 'cities', 'north', 'india', 'almora', 'known', 'rich', 'cultural', 'heritage', 'unique', 'handicrafts', 'sumptuous', 'cuisine', 'magnific']"
harsil valley,4.8,harsil valley nestled amid majestic himalayas dense cover pine deodar trees river bhagirathi gurgling area offers serene escape nature lovers picturesque village sits 2620 meters sea level boasts numerous trekking trails adventure,april to october,uttarakhand,5,"['harsil', 'valley', 'nestled', 'amid', 'majestic', 'himalayas', 'dense', 'cover', 'pine', 'deodar', 'trees', 'river', 'bhagirathi', 'gurgling', 'area', 'offers', 'serene', 'escape', 'nature', 'lovers', 'picturesque', 'village', 'sits', '2620', 'meters', 'sea', 'level', 'boasts', 'numerous', 'trekking', 'trails', 'adventure']"
dhanaulti,4.3,minimal human intrusion without overloading overwhelming senses expectations dhanaulti slowly seeps conscience like long lost pleasant dream bringing comfort quiet giving much needed break humdrum routine life,september to june,uttarakhand,10,"['minimal', 'human', 'intrusion', 'without', 'overloading', 'overwhelming', 'senses', 'expectations', 'dhanaulti', 'slowly', 'seeps', 'conscience', 'like', 'long', 'lost', 'pleasant', 'dream', 'bringing', 'comfort', 'quiet', 'giving', 'much', 'needed', 'break', 'humdrum', 'routine', 'life']"
chakrata,3.8,chakrata small hill town near dehradun uttarakhand located height 6948 feet known coniferous forest treks caves ancient temples,throughout the year,uttarakhand,6,"['chakrata', 'small', 'hill', 'town', 'near', 'dehradun', 'uttarakhand', 'located', 'height', '6948', 'feet', 'known', 'coniferous', 'forest', 'treks', 'caves', 'ancient', 'temples']"
ranikhet,3.5,ranikhet meaning queens land hill station uttarakhand developed britishers around ancient temples undulating himalayan hills forests,throughout the year,uttarakhand,22,"['ranikhet', 'meaning', 'queens', 'land', 'hill', 'station', 'uttarakhand', 'developed', 'britishers', 'around', 'ancient', 'temples', 'undulating', 'himalayan', 'hills', 'forests']"
kanatal,4.1,deserted land today kanatal usual haunt travelers seek peace solitude kanatal said named lake existed apart peace place exhibits charm form majestic hills fruit trees apple orchards lush green forests,throughout the year,uttarakhand,10,"['deserted', 'land', 'today', 'kanatal', 'usual', 'haunt', 'travelers', 'seek', 'peace', 'solitude', 'kanatal', 'said', 'named', 'lake', 'existed', 'apart', 'peace', 'place', 'exhibits', 'charm', 'form', 'majestic', 'hills', 'fruit', 'trees', 'apple', 'orchards', 'lush', 'green', 'forests']"
uttarkashi,4.0,endearingly called devbhoomi uttarkashi literally meaning kashi north quaint little town tucked away hill state uttarakhand revered hindus one propitious religious sites townhouses two total four holy shrines hindu mythology one,"march to june, september to november",uttarakhand,9,"['endearingly', 'called', 'devbhoomi', 'uttarkashi', 'literally', 'meaning', 'kashi', 'north', 'quaint', 'little', 'town', 'tucked', 'away', 'hill', 'state', 'uttarakhand', 'revered', 'hindus', 'one', 'propitious', 'religious', 'sites', 'townhouses', 'two', 'total', 'four', 'holy', 'shrines', 'hindu', 'mythology', 'one']"
binsar,4.3,located distance 33 km almora binsar small town uttarakhand known surreal beauty snowladen himalayan peaks set amid forests covered oak pine rhododendrons deodar trees binsar home beautiful green meadows temples famous binsar wildlife,throughout the year,uttarakhand,4,"['located', 'distance', '33', 'km', 'almora', 'binsar', 'small', 'town', 'uttarakhand', 'known', 'surreal', 'beauty', 'snowladen', 'himalayan', 'peaks', 'set', 'amid', 'forests', 'covered', 'oak', 'pine', 'rhododendrons', 'deodar', 'trees', 'binsar', 'home', 'beautiful', 'green', 'meadows', 'temples', 'famous', 'binsar', 'wildlife']"
bhimtal,3.9,perched height 1370masl bhimtal idyllic lesscrowded version nainital 23 km away bhimtal scenic hill station charm lies offbeat tranquil atmosphere picturesque bhimtal lake popular attraction paddle boating birding natu,"march to june, september to december",uttarakhand,11,"['perched', 'height', '1370masl', 'bhimtal', 'idyllic', 'lesscrowded', 'version', 'nainital', '23', 'km', 'away', 'bhimtal', 'scenic', 'hill', 'station', 'charm', 'lies', 'offbeat', 'tranquil', 'atmosphere', 'picturesque', 'bhimtal', 'lake', 'popular', 'attraction', 'paddle', 'boating', 'birding', 'natu']"
naukuchiatal,3.8,naukuchiatal small picturesque lake village destination seek quietude tranquility beneath shade pure nature name place suggests place mainly known nine cornered lake measures 1 km length 40 deep,"april to june, september to november",uttarakhand,10,"['naukuchiatal', 'small', 'picturesque', 'lake', 'village', 'destination', 'seek', 'quietude', 'tranquility', 'beneath', 'shade', 'pure', 'nature', 'name', 'place', 'suggests', 'place', 'mainly', 'known', 'nine', 'cornered', 'lake', 'measures', '1', 'km', 'length', '40', 'deep']"
joshimath,4.5,joshimath also known jyotirmath hill town perched height 6150 feet chamoli district gharwal region uttarakhand joshimath serves important religious centre hindu pilgrims lies proximity one four maths founded adi guru shri shankarachar,april to november,uttarakhand,11,"['joshimath', 'also', 'known', 'jyotirmath', 'hill', 'town', 'perched', 'height', '6150', 'feet', 'chamoli', 'district', 'gharwal', 'region', 'uttarakhand', 'joshimath', 'serves', 'important', 'religious', 'centre', 'hindu', 'pilgrims', 'lies', 'proximity', 'one', 'four', 'maths', 'founded', 'adi', 'guru', 'shri', 'shankarachar']"
tungnath and chandrashila trek,3.6,tungnath quaint village uttarakhand known starting point popular chopta chadrashila trek height 2680m village surrounded evergreen forests pine deodar rhododendron one easier treks himalayan region hence recommended,,uttarakhand,,"['tungnath', 'quaint', 'village', 'uttarakhand', 'known', 'starting', 'point', 'popular', 'chopta', 'chadrashila', 'trek', 'height', '2680m', 'village', 'surrounded', 'evergreen', 'forests', 'pine', 'deodar', 'rhododendron', 'one', 'easier', 'treks', 'himalayan', 'region', 'hence', 'recommended']"
kumaon,3.0,hill stations flanked sorts conifers draped garb green kumaon changes coat blooms several times year soft pink early winters scarlet rhododendrons erupting like lava slopes different gradients summers kumaon,throughout the year,uttarakhand,7,"['hill', 'stations', 'flanked', 'sorts', 'conifers', 'draped', 'garb', 'green', 'kumaon', 'changes', 'coat', 'blooms', 'several', 'times', 'year', 'soft', 'pink', 'early', 'winters', 'scarlet', 'rhododendrons', 'erupting', 'like', 'lava', 'slopes', 'different', 'gradients', 'summers', 'kumaon']"
tehri garhwal,3.7,hindu mythology legends seemed showered tehri garhwal several spiritual significances place river ganga arrives real form devprayag river bhagirathi river alaknanda merge one also see many temples dotted across place,throughout the year,uttarakhand,16,"['hindu', 'mythology', 'legends', 'seemed', 'showered', 'tehri', 'garhwal', 'several', 'spiritual', 'significances', 'place', 'river', 'ganga', 'arrives', 'real', 'form', 'devprayag', 'river', 'bhagirathi', 'river', 'alaknanda', 'merge', 'one', 'also', 'see', 'many', 'temples', 'dotted', 'across', 'place']"
rajaji national park,3.0,encompassing shivalik mountain ranges rajaji national park abundantly rich flora fauna proves great holiday destination nature lovers wildlife enthusiasts alike,mid november to mid june,uttarakhand,,"['encompassing', 'shivalik', 'mountain', 'ranges', 'rajaji', 'national', 'park', 'abundantly', 'rich', 'flora', 'fauna', 'proves', 'great', 'holiday', 'destination', 'nature', 'lovers', 'wildlife', 'enthusiasts', 'alike']"
sattal,3.8,group seven fresh water lakes stash natures bounty loads migratory birds panoramic vistas make wonderful place called sattal paradise nature buffs bird watchers sattal mystery makes charming photographers paradise,"april to june, september to december",uttarakhand,11,"['group', 'seven', 'fresh', 'water', 'lakes', 'stash', 'natures', 'bounty', 'loads', 'migratory', 'birds', 'panoramic', 'vistas', 'make', 'wonderful', 'place', 'called', 'sattal', 'paradise', 'nature', 'buffs', 'bird', 'watchers', 'sattal', 'mystery', 'makes', 'charming', 'photographers', 'paradise']"
munsiyari,4.6,often referred little kashmir munsiyari cosy hamlet located pithoragarh district uttarakhand situated altitude 2298 metres pretty little hill town known panorama snowcapped himalayan range adventurous trekking trails,"april to june, october to november",uttarakhand,16,"['often', 'referred', 'little', 'kashmir', 'munsiyari', 'cosy', 'hamlet', 'located', 'pithoragarh', 'district', 'uttarakhand', 'situated', 'altitude', '2298', 'metres', 'pretty', 'little', 'hill', 'town', 'known', 'panorama', 'snowcapped', 'himalayan', 'range', 'adventurous', 'trekking', 'trails']"
roopkund trek,4.0,perched elevation 5029 sea level lap trishul peak nanda ghunti place full mystery roopkund also called ‘ mystery lake ’ place synonymous name owing discovery human skeletons horses remains paleolithic age p,,uttarakhand,,"['perched', 'elevation', '5029', 'sea', 'level', 'lap', 'trishul', 'peak', 'nanda', 'ghunti', 'place', 'full', 'mystery', 'roopkund', 'also', 'called', '‘', 'mystery', 'lake', '’', 'place', 'synonymous', 'name', 'owing', 'discovery', 'human', 'skeletons', 'horses', 'remains', 'paleolithic', 'age', 'p']"
abbott mount,4.0,quaint old town abbott mount located kali kumaon region champawat district uttarakhand one witness charm bygone british colonial era marvelous church 13 isolated cottages across hill,throughout the year,uttarakhand,4,"['quaint', 'old', 'town', 'abbott', 'mount', 'located', 'kali', 'kumaon', 'region', 'champawat', 'district', 'uttarakhand', 'one', 'witness', 'charm', 'bygone', 'british', 'colonial', 'era', 'marvelous', 'church', '13', 'isolated', 'cottages', 'across', 'hill']"
champawat,4.0,champawat intrepid town champawat district uttrakhand perched 5299 feet sea level quaint town champaran perfect composite adventure religion history place holds historical religious significance attracting many drifters pilgrims throughout,october to june,uttarakhand,8,"['champawat', 'intrepid', 'town', 'champawat', 'district', 'uttrakhand', 'perched', '5299', 'feet', 'sea', 'level', 'quaint', 'town', 'champaran', 'perfect', 'composite', 'adventure', 'religion', 'history', 'place', 'holds', 'historical', 'religious', 'significance', 'attracting', 'many', 'drifters', 'pilgrims', 'throughout']"
madhyamaheshwar,5.0,small sacred town madhyamaheshwar place full mysteries blessed bounty nature renowned madhyamaheshwar temple dedicated lord shiva gathers whole hamlet pray evening along many tourists,may to october,uttarakhand,4,"['small', 'sacred', 'town', 'madhyamaheshwar', 'place', 'full', 'mysteries', 'blessed', 'bounty', 'nature', 'renowned', 'madhyamaheshwar', 'temple', 'dedicated', 'lord', 'shiva', 'gathers', 'whole', 'hamlet', 'pray', 'evening', 'along', 'many', 'tourists']"
bageshwar,3.4,bageshwar small town uttarakhand tucked away kumaon region himalayan range inconspicuously situated confluence rivers saryu gomti bhileshwar nileshwar mountains bageshwar known rivers temples mountains temple baghnath ded,october to june,uttarakhand,10,"['bageshwar', 'small', 'town', 'uttarakhand', 'tucked', 'away', 'kumaon', 'region', 'himalayan', 'range', 'inconspicuously', 'situated', 'confluence', 'rivers', 'saryu', 'gomti', 'bhileshwar', 'nileshwar', 'mountains', 'bageshwar', 'known', 'rivers', 'temples', 'mountains', 'temple', 'baghnath', 'ded']"
pithoragarh,3.8,small urban town bustling tourists prime example raw beauty nature often fondly referred little kashmir gateway himalayan range town also serves stop pilgrims way kailash mansarover,"april to june, october to december",uttarakhand,20,"['small', 'urban', 'town', 'bustling', 'tourists', 'prime', 'example', 'raw', 'beauty', 'nature', 'often', 'fondly', 'referred', 'little', 'kashmir', 'gateway', 'himalayan', 'range', 'town', 'also', 'serves', 'stop', 'pilgrims', 'way', 'kailash', 'mansarover']"
pauri garhwal,3.7,pauri garhwal paradise showcases varied colors nature packed one place snow covered himalayan peaks thick cover lush green forests deep rooted culture place warm hearted people place oozes beauty charm every aspect,"april to june, september to october",uttarakhand,13,"['pauri', 'garhwal', 'paradise', 'showcases', 'varied', 'colors', 'nature', 'packed', 'one', 'place', 'snow', 'covered', 'himalayan', 'peaks', 'thick', 'cover', 'lush', 'green', 'forests', 'deep', 'rooted', 'culture', 'place', 'warm', 'hearted', 'people', 'place', 'oozes', 'beauty', 'charm', 'every', 'aspect']"
chamba,4.5,far rush city life chamba small town uttarakhand known pristine vistas deodar pine trees himalayan mountains promising peaceful ambience modernisation hasnt touched borders chamba perfect getaway find solace nature,throughout the year,uttarakhand,2,"['far', 'rush', 'city', 'life', 'chamba', 'small', 'town', 'uttarakhand', 'known', 'pristine', 'vistas', 'deodar', 'pine', 'trees', 'himalayan', 'mountains', 'promising', 'peaceful', 'ambience', 'modernisation', 'hasnt', 'touched', 'borders', 'chamba', 'perfect', 'getaway', 'find', 'solace', 'nature']"
kolkata,4.3,kolkata indias second biggest city perpetually ongoing festival human existence concurrently luxurious squalid refined frantic pointedly futuristic beautifully decay vibrant 350yearold metropolis located indias eastern coast capital west bengal thrive,october to march,west bengal,79,"['kolkata', 'indias', 'second', 'biggest', 'city', 'perpetually', 'ongoing', 'festival', 'human', 'existence', 'concurrently', 'luxurious', 'squalid', 'refined', 'frantic', 'pointedly', 'futuristic', 'beautifully', 'decay', 'vibrant', '350yearold', 'metropolis', 'located', 'indias', 'eastern', 'coast', 'capital', 'west', 'bengal', 'thrive']"
darjeeling,4.3,darjeeling former summer capital india british raj evolved one indias soughtafter hill stations picturesque hill destination west bengal ideal romantic honeymoon darjeeling nestled among acres tea estates 2050 metres sea level,"february to march, september to december",west bengal,31,"['darjeeling', 'former', 'summer', 'capital', 'india', 'british', 'raj', 'evolved', 'one', 'indias', 'soughtafter', 'hill', 'stations', 'picturesque', 'hill', 'destination', 'west', 'bengal', 'ideal', 'romantic', 'honeymoon', 'darjeeling', 'nestled', 'among', 'acres', 'tea', 'estates', '2050', 'metres', 'sea', 'level']"
sundarbans,4.3,known hosting biggest mangrove forests world sundarbans national park located around 110 km south kolkata west bengal india also tiger reserve biosphere reserve famous home royal bengal tigers among others including roaring rivers b,september to march,west bengal,3,"['known', 'hosting', 'biggest', 'mangrove', 'forests', 'world', 'sundarbans', 'national', 'park', 'located', 'around', '110', 'km', 'south', 'kolkata', 'west', 'bengal', 'india', 'also', 'tiger', 'reserve', 'biosphere', 'reserve', 'famous', 'home', 'royal', 'bengal', 'tigers', 'among', 'others', 'including', 'roaring', 'rivers', 'b']"
siliguri,4.5,situated jalpaiguri siliguri districts west bengal siliguri city known gateway northeast india located 560 kms kolkata north siliguri twin city jalpaiguri third largest west bengal siliguri international airport,throughout the year,west bengal,19,"['situated', 'jalpaiguri', 'siliguri', 'districts', 'west', 'bengal', 'siliguri', 'city', 'known', 'gateway', 'northeast', 'india', 'located', '560', 'kms', 'kolkata', 'north', 'siliguri', 'twin', 'city', 'jalpaiguri', 'third', 'largest', 'west', 'bengal', 'siliguri', 'international', 'airport']"
mirik,4.0,nestled amidst picturesque hills darjeeling district west bengal mirik charming hill station known serene beauty tranquil ambiance located altitude 1495 meters sea level mirik surrounded lush green forests rolling tea gardens breathtaking vie,march to july,west bengal,9,"['nestled', 'amidst', 'picturesque', 'hills', 'darjeeling', 'district', 'west', 'bengal', 'mirik', 'charming', 'hill', 'station', 'known', 'serene', 'beauty', 'tranquil', 'ambiance', 'located', 'altitude', '1495', 'meters', 'sea', 'level', 'mirik', 'surrounded', 'lush', 'green', 'forests', 'rolling', 'tea', 'gardens', 'breathtaking', 'vie']"
