visit_places,rating,city_names,visit_place_summary,distance_from_city_center,tokenized_summary
pandusthal trek,3.6,bageshwar,pandusthal believed place war kauravas pandavas took place long trek 20 km one reach place offers one beautiful views himalayas,1,"['pandusthal', 'believed', 'place', 'war', 'kauravas', 'pandavas', 'took', 'place', 'long', 'trek', '20', 'km', 'one', 'reach', 'place', 'offers', 'one', 'beautiful', 'views', 'himalayas']"
banasur ka kila,3.1,champawat,ironically constructed relic name boon bestowed banasur man thousand arms whereas fort gives air amourous nature perfect spot watch origins lohaghati river,8,"['ironically', 'constructed', 'relic', 'name', 'boon', 'bestowed', 'banasur', 'man', 'thousand', 'arms', 'whereas', 'fort', 'gives', 'air', 'amourous', 'nature', 'perfect', 'spot', 'watch', 'origins', 'lohaghati', 'river']"
baleshwar temple,3.4,champawat,one oldest temples champawat baleshwar temple dedicated lord shiva built around 10th century ad rulers chand dynasty,0,"['one', 'oldest', 'temples', 'champawat', 'baleshwar', 'temple', 'dedicated', 'lord', 'shiva', 'built', 'around', '10th', 'century', 'ad', 'rulers', 'chand', 'dynasty']"
lohaghat,3.1,champawat,lohaghat immensely popular town 14 km champawat known extremely rich unspoilt natural beauty historical relevance,10,"['lohaghat', 'immensely', 'popular', 'town', '14', 'km', 'champawat', 'known', 'extremely', 'rich', 'unspoilt', 'natural', 'beauty', 'historical', 'relevance']"
kranteshwar mahadev temple,3.1,champawat,fond straying away usual mainstream tourist spots choose champawat youre even rustic exploration land religion spirituality culminate originate rest country visit kranteshwar mahadev,5,"['fond', 'straying', 'away', 'usual', 'mainstream', 'tourist', 'spots', 'choose', 'champawat', 'youre', 'even', 'rustic', 'exploration', 'land', 'religion', 'spirituality', 'culminate', 'originate', 'rest', 'country', 'visit', 'kranteshwar', 'mahadev']"
nagnath,3.1,champawat,particular hilly towns north india worship lord shiva hindu mythology chief deity believed shiva conqueror death delivers devotees every possible trouble makes life peaceful successful,1,"['particular', 'hilly', 'towns', 'north', 'india', 'worship', 'lord', 'shiva', 'hindu', 'mythology', 'chief', 'deity', 'believed', 'shiva', 'conqueror', 'death', 'delivers', 'devotees', 'every', 'possible', 'trouble', 'makes', 'life', 'peaceful', 'successful']"
shyamla tal (vivekananda ashram),3.6,champawat,situated altitude 1500 meters foothills garhwal himalayas shyama la tal beautiful lake town umpteen amounts greenery freshness,20,"['situated', 'altitude', '1500', 'meters', 'foothills', 'garhwal', 'himalayas', 'shyama', 'la', 'tal', 'beautiful', 'lake', 'town', 'umpteen', 'amounts', 'greenery', 'freshness']"
ek hathiya ka naula,3.1,champawat,one structures known uniqueness also creators single handedly carved architectural marvel situated 5 km away champawat ek hathiya ka naula named literally carved artisan one hand span single night,0,"['one', 'structures', 'known', 'uniqueness', 'also', 'creators', 'single', 'handedly', 'carved', 'architectural', 'marvel', 'situated', '5', 'km', 'away', 'champawat', 'ek', 'hathiya', 'ka', 'naula', 'named', 'literally', 'carved', 'artisan', 'one', 'hand', 'span', 'single', 'night']"
gwal devta,3.1,champawat,gwal devta popularly known goll devta goril devta deity enormous significance area known deliver justice instill faith populace ruler prince,1,"['gwal', 'devta', 'popularly', 'known', 'goll', 'devta', 'goril', 'devta', 'deity', 'enormous', 'significance', 'area', 'known', 'deliver', 'justice', 'instill', 'faith', 'populace', 'ruler', 'prince']"
dhanaulti adventure park,,dhanaulti,sky walk sky bridge valley crossing zip swing zip line trekking rock climbing rappelling paragliding cave exploration much think adventure activity find dhanaulti adventure park happily situated amidst towering hill snow capped mountains magnificent view perfect mix leisure adventure,2,"['sky', 'walk', 'sky', 'bridge', 'valley', 'crossing', 'zip', 'swing', 'zip', 'line', 'trekking', 'rock', 'climbing', 'rappelling', 'paragliding', 'cave', 'exploration', 'much', 'think', 'adventure', 'activity', 'find', 'dhanaulti', 'adventure', 'park', 'happily', 'situated', 'amidst', 'towering', 'hill', 'snow', 'capped', 'mountains', 'magnificent', 'view', 'perfect', 'mix', 'leisure', 'adventure']"
"eco park, dhanaulti",3.1,dhanaulti,forest department uttarakhand developed chief dhanaulti attraction eco park attracts visitors year beautiful hill panoramic view,1,"['forest', 'department', 'uttarakhand', 'developed', 'chief', 'dhanaulti', 'attraction', 'eco', 'park', 'attracts', 'visitors', 'year', 'beautiful', 'hill', 'panoramic', 'view']"
apple orchard resort,3.1,dhanaulti,fresh fruit fanatics apple orchard resort home wide variety apples cultivated sold,6,"['fresh', 'fruit', 'fanatics', 'apple', 'orchard', 'resort', 'home', 'wide', 'variety', 'apples', 'cultivated', 'sold']"
deogarh fort,,dhanaulti,deogarh fort another one popular attractions dhanaulti built 16th century fort many beautiful palaces several murals place also number jain temples around area,,"['deogarh', 'fort', 'another', 'one', 'popular', 'attractions', 'dhanaulti', 'built', '16th', 'century', 'fort', 'many', 'beautiful', 'palaces', 'several', 'murals', 'place', 'also', 'number', 'jain', 'temples', 'around', 'area']"
tehri dam,,dhanaulti,tehri dam popular tourist attraction dhanaulti boasting ultra scenic views hills backdrop clear waters front place offers utmost serenity calm people usually come enjoy day picnic amidst beautiful setting,24,"['tehri', 'dam', 'popular', 'tourist', 'attraction', 'dhanaulti', 'boasting', 'ultra', 'scenic', 'views', 'hills', 'backdrop', 'clear', 'waters', 'front', 'place', 'offers', 'utmost', 'serenity', 'calm', 'people', 'usually', 'come', 'enjoy', 'day', 'picnic', 'amidst', 'beautiful', 'setting']"
camp thangdhar,3.1,dhanaulti,thangdhar camp approximately 14 km away main market dhanaulti far best adventure camp vicinity situated height 8300 feet surrounded pine deodar trees camp also graciously provides sightseeing service closer tourist destinations,10,"['thangdhar', 'camp', 'approximately', '14', 'km', 'away', 'main', 'market', 'dhanaulti', 'far', 'best', 'adventure', 'camp', 'vicinity', 'situated', 'height', '8300', 'feet', 'surrounded', 'pine', 'deodar', 'trees', 'camp', 'also', 'graciously', 'provides', 'sightseeing', 'service', 'closer', 'tourist', 'destinations']"
dashavatar temple,,dhanaulti,initially known panchayatan temple dashavatar temple located 10 kms away dhaulti deogarh temple dates back gupta empire enshrined lord vishnu besides wonderful architecture walls temple beautifully carved panels walls also inscriptions vaishnava mythology,,"['initially', 'known', 'panchayatan', 'temple', 'dashavatar', 'temple', 'located', '10', 'kms', 'away', 'dhaulti', 'deogarh', 'temple', 'dates', 'back', 'gupta', 'empire', 'enshrined', 'lord', 'vishnu', 'besides', 'wonderful', 'architecture', 'walls', 'temple', 'beautifully', 'carved', 'panels', 'walls', 'also', 'inscriptions', 'vaishnava', 'mythology']"
kanatal adventure camp,,dhanaulti,kanatal adventure camp one best camping sites area offering plethora activities ranging burma bridge valley crossing paint ball jet skiing etc camp also organizes bonfires buffet meals attached washrooms tents indoor outdoor games barbeque nights etc,1,"['kanatal', 'adventure', 'camp', 'one', 'best', 'camping', 'sites', 'area', 'offering', 'plethora', 'activities', 'ranging', 'burma', 'bridge', 'valley', 'crossing', 'paint', 'ball', 'jet', 'skiing', 'etc', 'camp', 'also', 'organizes', 'bonfires', 'buffet', 'meals', 'attached', 'washrooms', 'tents', 'indoor', 'outdoor', 'games', 'barbeque', 'nights', 'etc']"
surkhanda devi temple,3.4,dhanaulti,distance 8 km dhanaulti 2 km trek village kaddu khal surkanda temple makes trekkers paradise,5,"['distance', '8', 'km', 'dhanaulti', '2', 'km', 'trek', 'village', 'kaddu', 'khal', 'surkanda', 'temple', 'makes', 'trekkers', 'paradise']"
potato farm,3.1,dhanaulti,potato farm ones rustic heart looking experience nature raw form potato farm natively called aloo khet spread across large strips land owned government private farmers,1,"['potato', 'farm', 'ones', 'rustic', 'heart', 'looking', 'experience', 'nature', 'raw', 'form', 'potato', 'farm', 'natively', 'called', 'aloo', 'khet', 'spread', 'across', 'large', 'strips', 'land', 'owned', 'government', 'private', 'farmers']"
kathgodam,4.1,haldwani,immediate north haldwani lies kathgodam erstwhile called chauhan patta nainital district uttarakhand gateway uttarakhands popular tourist destinations like nainital bhimtal ranikhet town lies 554 meters sea level enclosed scenic mountains lush greeneries primarily famous fruit orchards two temples devoted hindu deities kali chaud sheetla devi,5,"['immediate', 'north', 'haldwani', 'lies', 'kathgodam', 'erstwhile', 'called', 'chauhan', 'patta', 'nainital', 'district', 'uttarakhand', 'gateway', 'uttarakhands', 'popular', 'tourist', 'destinations', 'like', 'nainital', 'bhimtal', 'ranikhet', 'town', 'lies', '554', 'meters', 'sea', 'level', 'enclosed', 'scenic', 'mountains', 'lush', 'greeneries', 'primarily', 'famous', 'fruit', 'orchards', 'two', 'temples', 'devoted', 'hindu', 'deities', 'kali', 'chaud', 'sheetla', 'devi']"
gaula dam,,haldwani,gaula gola dam barrage built gaula river located kathgodam town nainital district uttarakhand area rich flora fauna ideal camping birdwatching fishing boating large playground parking space snack bars serving delicious readytoeat food make gaula dam perfect family outings,7,"['gaula', 'gola', 'dam', 'barrage', 'built', 'gaula', 'river', 'located', 'kathgodam', 'town', 'nainital', 'district', 'uttarakhand', 'area', 'rich', 'flora', 'fauna', 'ideal', 'camping', 'birdwatching', 'fishing', 'boating', 'large', 'playground', 'parking', 'space', 'snack', 'bars', 'serving', 'delicious', 'readytoeat', 'food', 'make', 'gaula', 'dam', 'perfect', 'family', 'outings']"
shitla devi temple,,haldwani,shitla devi temple stands atop mountain near kathgodam railway station nainital district uttarakhand located 8 km haldwani temple dedicated hindu deity durga temple liveliest september october grand festivities take place theres scenic garden nearby however beware monkeys wish avoid crowds early mornings best time miss sunrise vantage point,8,"['shitla', 'devi', 'temple', 'stands', 'atop', 'mountain', 'near', 'kathgodam', 'railway', 'station', 'nainital', 'district', 'uttarakhand', 'located', '8', 'km', 'haldwani', 'temple', 'dedicated', 'hindu', 'deity', 'durga', 'temple', 'liveliest', 'september', 'october', 'grand', 'festivities', 'take', 'place', 'theres', 'scenic', 'garden', 'nearby', 'however', 'beware', 'monkeys', 'wish', 'avoid', 'crowds', 'early', 'mornings', 'best', 'time', 'miss', 'sunrise', 'vantage', 'point']"
victoria memorial,4.5,kolkata,victoria memorial large marble building considered pride kolkata built 1906 1921 dedicated memory queen victoria museum popular tourist spot ministry culture,4,"['victoria', 'memorial', 'large', 'marble', 'building', 'considered', 'pride', 'kolkata', 'built', '1906', '1921', 'dedicated', 'memory', 'queen', 'victoria', 'museum', 'popular', 'tourist', 'spot', 'ministry', 'culture']"
fort william kolkata,4.4,kolkata,fort william fort built kolkata eastern banks river hooghly major distributary ganges magnificent structure spread 709 acres embellished hundreds arched windows overlook lush green gardens meticulous stonework adorns surface building,3,"['fort', 'william', 'fort', 'built', 'kolkata', 'eastern', 'banks', 'river', 'hooghly', 'major', 'distributary', 'ganges', 'magnificent', 'structure', 'spread', '709', 'acres', 'embellished', 'hundreds', 'arched', 'windows', 'overlook', 'lush', 'green', 'gardens', 'meticulous', 'stonework', 'adorns', 'surface', 'building']"
belur math,4.4,kolkata,belur mutt headquarters ramakrishna math mission founded swami vivekananda situated west bank hooghly river temple prominent architecture embraces hindu christian islamic styles stands icon unity religions,7,"['belur', 'mutt', 'headquarters', 'ramakrishna', 'math', 'mission', 'founded', 'swami', 'vivekananda', 'situated', 'west', 'bank', 'hooghly', 'river', 'temple', 'prominent', 'architecture', 'embraces', 'hindu', 'christian', 'islamic', 'styles', 'stands', 'icon', 'unity', 'religions']"
howrah bridge,4.4,kolkata,located hooghly river west bengal howrah bridge rabindra setu main connection howrah kolkata cantilever bridge regarded one busiest ones among,2,"['located', 'hooghly', 'river', 'west', 'bengal', 'howrah', 'bridge', 'rabindra', 'setu', 'main', 'connection', 'howrah', 'kolkata', 'cantilever', 'bridge', 'regarded', 'one', 'busiest', 'ones', 'among']"
birla planetarium,4.4,kolkata,birla planetarium kolkata largest planetarium asia second largest planetarium world singlestoreyed circular structure designed typical indian style whose architecture designed buddhist stupa sanchi,3,"['birla', 'planetarium', 'kolkata', 'largest', 'planetarium', 'asia', 'second', 'largest', 'planetarium', 'world', 'singlestoreyed', 'circular', 'structure', 'designed', 'typical', 'indian', 'style', 'whose', 'architecture', 'designed', 'buddhist', 'stupa', 'sanchi']"
indian museum,4.4,kolkata,indian museum one oldest museums world boasting exquisite collections ornaments fossils skeletons antiques armors mummies stunning mughal paintings,2,"['indian', 'museum', 'one', 'oldest', 'museums', 'world', 'boasting', 'exquisite', 'collections', 'ornaments', 'fossils', 'skeletons', 'antiques', 'armors', 'mummies', 'stunning', 'mughal', 'paintings']"
marble palace mansion,3.7,kolkata,marble palace near chorbagan north kolkata built 1835 rajendra mallick famed art collection masterpieces reuben paintings various renowned international artists reynolds van gogh rembrandt,2,"['marble', 'palace', 'near', 'chorbagan', 'north', 'kolkata', 'built', '1835', 'rajendra', 'mallick', 'famed', 'art', 'collection', 'masterpieces', 'reuben', 'paintings', 'various', 'renowned', 'international', 'artists', 'reynolds', 'van', 'gogh', 'rembrandt']"
mother house,3.7,kolkata,place tomb mother teresa present maintained missionaries followers continued promote legacy,3,"['place', 'tomb', 'mother', 'teresa', 'present', 'maintained', 'missionaries', 'followers', 'continued', 'promote', 'legacy']"
science city kolkata,3.8,kolkata,one kind india science city inaugurated 1st july 1997 major attraction residents kolkata well people visiting kolkata one finest largest science museums world provides fun way learning science,5,"['one', 'kind', 'india', 'science', 'city', 'inaugurated', '1st', 'july', '1997', 'major', 'attraction', 'residents', 'kolkata', 'well', 'people', 'visiting', 'kolkata', 'one', 'finest', 'largest', 'science', 'museums', 'world', 'provides', 'fun', 'way', 'learning', 'science']"
st. paul's cathedral kolkata,3.8,kolkata,said first cathedral built overseas territory british empire st pauls cathedral anglican cathedral located kolkata also said seat diocese calcutta fine example indogothic style architecture,4,"['said', 'first', 'cathedral', 'built', 'overseas', 'territory', 'british', 'empire', 'st', 'pauls', 'cathedral', 'anglican', 'cathedral', 'located', 'kolkata', 'also', 'said', 'seat', 'diocese', 'calcutta', 'fine', 'example', 'indogothic', 'style', 'architecture']"
tajpur,3.5,kolkata,tucked mandarmani shankarpur tajpur small town set bay bengals tranquil shore 170 kms kolkata considered serene secret west bengal virgin beach hidden away view still untouched commercialization tourism highlight pristine beach hundreds red crabs found shores also give perfect crimson colour beach,127,"['tucked', 'mandarmani', 'shankarpur', 'tajpur', 'small', 'town', 'set', 'bay', 'bengals', 'tranquil', 'shore', '170', 'kms', 'kolkata', 'considered', 'serene', 'secret', 'west', 'bengal', 'virgin', 'beach', 'hidden', 'away', 'view', 'still', 'untouched', 'commercialization', 'tourism', 'highlight', 'pristine', 'beach', 'hundreds', 'red', 'crabs', 'found', 'shores', 'also', 'give', 'perfect', 'crimson', 'colour', 'beach']"
birla mandir kolkata,3.9,kolkata,glowing structure adorns streets kolkata popular hindu temple birla temple dedicated lord krishna radha temple perfect specimen craftsmanship,4,"['glowing', 'structure', 'adorns', 'streets', 'kolkata', 'popular', 'hindu', 'temple', 'birla', 'temple', 'dedicated', 'lord', 'krishna', 'radha', 'temple', 'perfect', 'specimen', 'craftsmanship']"
eden gardens,3.8,kolkata,popular largest cricket stadium india second largest world eden gardens seat 66000 spectators set amidst adjoining garden eden related onetime governor aukland sister would stroll evenings,3,"['popular', 'largest', 'cricket', 'stadium', 'india', 'second', 'largest', 'world', 'eden', 'gardens', 'seat', '66000', 'spectators', 'set', 'amidst', 'adjoining', 'garden', 'eden', 'related', 'onetime', 'governor', 'aukland', 'sister', 'would', 'stroll', 'evenings']"
jorasanko thakur bari,3.3,kolkata,currently located rabindra bharati university campus jorasank jorasanko thakur bari house first noneuropean nobel laureate poet rabindranath tagore born,1,"['currently', 'located', 'rabindra', 'bharati', 'university', 'campus', 'jorasank', 'jorasanko', 'thakur', 'bari', 'house', 'first', 'noneuropean', 'nobel', 'laureate', 'poet', 'rabindranath', 'tagore', 'born']"
birla industrial & technological museum,3.9,kolkata,first scientific industrial museum india birla industrial technological museum bitm one prime attractions kolkata famous galleries 3d shows,4,"['first', 'scientific', 'industrial', 'museum', 'india', 'birla', 'industrial', 'technological', 'museum', 'bitm', 'one', 'prime', 'attractions', 'kolkata', 'famous', 'galleries', '3d', 'shows']"
rabindra sarovar,3.3,kolkata,erstwhile dhakuri lake artificial tank spread 75 acres home various migratory birds siberia russia lake surrounded gardens childrens park auditorium making popular recreational spot perfect idyllic picnics making one unique places visit kolkata,7,"['erstwhile', 'dhakuri', 'lake', 'artificial', 'tank', 'spread', '75', 'acres', 'home', 'various', 'migratory', 'birds', 'siberia', 'russia', 'lake', 'surrounded', 'gardens', 'childrens', 'park', 'auditorium', 'making', 'popular', 'recreational', 'spot', 'perfect', 'idyllic', 'picnics', 'making', 'one', 'unique', 'places', 'visit', 'kolkata']"
kalighat temple,3.4,kolkata,kalighat temple one 51 shakti sthals india one visited kali temples india spot toes satis right foot fell shivas rudra taandav naach,6,"['kalighat', 'temple', 'one', '51', 'shakti', 'sthals', 'india', 'one', 'visited', 'kali', 'temples', 'india', 'spot', 'toes', 'satis', 'right', 'foot', 'fell', 'shivas', 'rudra', 'taandav', 'naach']"
shobhabajar rajbari,3.1,kolkata,shobhabazar rajbari one grandest bengali style houses ever built build royal family shobhabazar kolkata grandeur palpable eye,3,"['shobhabazar', 'rajbari', 'one', 'grandest', 'bengali', 'style', 'houses', 'ever', 'built', 'build', 'royal', 'family', 'shobhabazar', 'kolkata', 'grandeur', 'palpable', 'eye']"
botanical gardens in kolkata,3.3,kolkata,botanical gardens calcutta founded robert kyd 1787 protected botanical survey india stretches 109 hectares banyan tree garden 330 circumference known great banyan largest tree world botanic gardens kolkata later renamed acharya jagadish chandra indian botanic garden,45,"['botanical', 'gardens', 'calcutta', 'founded', 'robert', 'kyd', '1787', 'protected', 'botanical', 'survey', 'india', 'stretches', '109', 'hectares', 'banyan', 'tree', 'garden', '330', 'circumference', 'known', 'great', 'banyan', 'largest', 'tree', 'world', 'botanic', 'gardens', 'kolkata', 'later', 'renamed', 'acharya', 'jagadish', 'chandra', 'indian', 'botanic', 'garden']"
nakhoda mosque,3.3,kolkata,placed chitpur area burrabazar business district nakhoda mosque one busiest mosques kolkata dates back almost century prayer hall seating capacity 10000 domes minarets constructed keeping fatehpur sikri style architecture,1,"['placed', 'chitpur', 'area', 'burrabazar', 'business', 'district', 'nakhoda', 'mosque', 'one', 'busiest', 'mosques', 'kolkata', 'dates', 'back', 'almost', 'century', 'prayer', 'hall', 'seating', 'capacity', '10000', 'domes', 'minarets', 'constructed', 'keeping', 'fatehpur', 'sikri', 'style', 'architecture']"
alipore zoo,3.0,kolkata,alipore zoo also known calcutta zoo zoological garden alipore oldest zoological park established india major tourist attraction kolkata attracts tourists across nation visit zoo explore wildlife happily thrives enjoy,5,"['alipore', 'zoo', 'also', 'known', 'calcutta', 'zoo', 'zoological', 'garden', 'alipore', 'oldest', 'zoological', 'park', 'established', 'india', 'major', 'tourist', 'attraction', 'kolkata', 'attracts', 'tourists', 'across', 'nation', 'visit', 'zoo', 'explore', 'wildlife', 'happily', 'thrives', 'enjoy']"
sabarna sangrahashala,3.3,kolkata,designed developed maintained sabarrna roy choudhary paribar parishad preserve display heritage one well known families bengal sabarna roy choudhary family,12,"['designed', 'developed', 'maintained', 'sabarrna', 'roy', 'choudhary', 'paribar', 'parishad', 'preserve', 'display', 'heritage', 'one', 'well', 'known', 'families', 'bengal', 'sabarna', 'roy', 'choudhary', 'family']"
"eco tourism park, kolkata",,kolkata,eco tourism park expansive urban park designed promote eco tourism city biggest urban park india occupies 475 acres land beauty location increases ten folds water body surrounds park forms island middle,11,"['eco', 'tourism', 'park', 'expansive', 'urban', 'park', 'designed', 'promote', 'eco', 'tourism', 'city', 'biggest', 'urban', 'park', 'india', 'occupies', '475', 'acres', 'land', 'beauty', 'location', 'increases', 'ten', 'folds', 'water', 'body', 'surrounds', 'park', 'forms', 'island', 'middle']"
calcutta jain temple,,kolkata,pareshnath jain temple temple complex dedicated four jain teerthankaras complex beautiful arrangement shrines draws tourists world architecture temples consists intricately carved marbles glass work indeed one temples charismatic vibe,4,"['pareshnath', 'jain', 'temple', 'temple', 'complex', 'dedicated', 'four', 'jain', 'teerthankaras', 'complex', 'beautiful', 'arrangement', 'shrines', 'draws', 'tourists', 'world', 'architecture', 'temples', 'consists', 'intricately', 'carved', 'marbles', 'glass', 'work', 'indeed', 'one', 'temples', 'charismatic', 'vibe']"
"nicco park, kolkata",,kolkata,nicco park amusement park frequently visited entertainment recreational purposes also called disney land west bengal attracts visitors large numbers throughout year park functions efficiently solar energy causes pollution,6,"['nicco', 'park', 'amusement', 'park', 'frequently', 'visited', 'entertainment', 'recreational', 'purposes', 'also', 'called', 'disney', 'land', 'west', 'bengal', 'attracts', 'visitors', 'large', 'numbers', 'throughout', 'year', 'park', 'functions', 'efficiently', 'solar', 'energy', 'causes', 'pollution']"
prinsep ghat,,kolkata,prinsep ghat located banks river hooghly majestic structure famous greek gothic inlays iwith magnificent howrah bridge background watching sunrise sunset taking long walk cool air banks river preferred recreational activities,4,"['prinsep', 'ghat', 'located', 'banks', 'river', 'hooghly', 'majestic', 'structure', 'famous', 'greek', 'gothic', 'inlays', 'iwith', 'magnificent', 'howrah', 'bridge', 'background', 'watching', 'sunrise', 'sunset', 'taking', 'long', 'walk', 'cool', 'air', 'banks', 'river', 'preferred', 'recreational', 'activities']"
aquatica,,kolkata,aquatica water theme park resort kolkata many exciting themed rides slides entertainment recreational activities guests water park occupies 75000 square feet area provides pleasant respite scorching summer heat provide lockers visitors keep belongings securely,10,"['aquatica', 'water', 'theme', 'park', 'resort', 'kolkata', 'many', 'exciting', 'themed', 'rides', 'slides', 'entertainment', 'recreational', 'activities', 'guests', 'water', 'park', 'occupies', '75000', 'square', 'feet', 'area', 'provides', 'pleasant', 'respite', 'scorching', 'summer', 'heat', 'provide', 'lockers', 'visitors', 'keep', 'belongings', 'securely']"
park street,,kolkata,park street major access route kolkata also officially known mother teresa sarani street begins chowringhee road jl nehru road stretches till park circus crossing said park street never sleeps always bustling activities one major hangouts city number pubs restaurants,1,"['park', 'street', 'major', 'access', 'route', 'kolkata', 'also', 'officially', 'known', 'mother', 'teresa', 'sarani', 'street', 'begins', 'chowringhee', 'road', 'jl', 'nehru', 'road', 'stretches', 'till', 'park', 'circus', 'crossing', 'said', 'park', 'street', 'never', 'sleeps', 'always', 'bustling', 'activities', 'one', 'major', 'hangouts', 'city', 'number', 'pubs', 'restaurants']"
chowringhee,,kolkata,chowringhee also officially known jawaharlal nehru road happening hub frequently visited locals recreational activities shopping one localities city top end boutiques hotels malls shops restaurants,3,"['chowringhee', 'also', 'officially', 'known', 'jawaharlal', 'nehru', 'road', 'happening', 'hub', 'frequently', 'visited', 'locals', 'recreational', 'activities', 'shopping', 'one', 'localities', 'city', 'top', 'end', 'boutiques', 'hotels', 'malls', 'shops', 'restaurants']"
iskcon kolkata,,kolkata,iskcon radha krishna temple highly spiritual place devotees focusing spreading teachings lord krishna restricted one particular religion welcomes enthusiasts people interested learning teachings open arms temple serene complex houses beautifully ornamented idols goddess radha lord krishna,3,"['iskcon', 'radha', 'krishna', 'temple', 'highly', 'spiritual', 'place', 'devotees', 'focusing', 'spreading', 'teachings', 'lord', 'krishna', 'restricted', 'one', 'particular', 'religion', 'welcomes', 'enthusiasts', 'people', 'interested', 'learning', 'teachings', 'open', 'arms', 'temple', 'serene', 'complex', 'houses', 'beautifully', 'ornamented', 'idols', 'goddess', 'radha', 'lord', 'krishna']"
south park street cemetery,,kolkata,south park street cemetery 18thcentury nonchurch cemetery one earliest world one largest burial grounds heritage site kolkata maintained archaeological survey india tombs south park street cemetery aesthetically beautiful attractive,3,"['south', 'park', 'street', 'cemetery', '18thcentury', 'nonchurch', 'cemetery', 'one', 'earliest', 'world', 'one', 'largest', 'burial', 'grounds', 'heritage', 'site', 'kolkata', 'maintained', 'archaeological', 'survey', 'india', 'tombs', 'south', 'park', 'street', 'cemetery', 'aesthetically', 'beautiful', 'attractive']"
sonajhuri forest,,kolkata,away mell pell city lies hidden gem state west bengal considered one clean forests india sonajhuri forest great retreat close nature sonajhuri forest replete lush green trees blooming flowers place picturesque quite number mesmerizing places see explore,143,"['away', 'mell', 'pell', 'city', 'lies', 'hidden', 'gem', 'state', 'west', 'bengal', 'considered', 'one', 'clean', 'forests', 'india', 'sonajhuri', 'forest', 'great', 'retreat', 'close', 'nature', 'sonajhuri', 'forest', 'replete', 'lush', 'green', 'trees', 'blooming', 'flowers', 'place', 'picturesque', 'quite', 'number', 'mesmerizing', 'places', 'see', 'explore']"
st john's church,,kolkata,st johns church one oldest churches kolkata built reign british kingdom city capital british india splendidly wellmaintained structure draws history architecture buffs uniqueness ancient features,2,"['st', 'johns', 'church', 'one', 'oldest', 'churches', 'kolkata', 'built', 'reign', 'british', 'kingdom', 'city', 'capital', 'british', 'india', 'splendidly', 'wellmaintained', 'structure', 'draws', 'history', 'architecture', 'buffs', 'uniqueness', 'ancient', 'features']"
barrackpore,,kolkata,barrackpore first place britishers set cantonment later spread rules india place great historical significance also first place spark attain britishers lit stop place also home mesmerizing green parks perfect spend time lazing around relaxing,22,"['barrackpore', 'first', 'place', 'britishers', 'set', 'cantonment', 'later', 'spread', 'rules', 'india', 'place', 'great', 'historical', 'significance', 'also', 'first', 'place', 'spark', 'attain', 'britishers', 'lit', 'stop', 'place', 'also', 'home', 'mesmerizing', 'green', 'parks', 'perfect', 'spend', 'time', 'lazing', 'around', 'relaxing']"
jhargram,,kolkata,jhargram small city located state west bengal rich historical cultural background surrounded dense forests place mystical perfect place spend days lap nature surrounded friendly tribal population bound mesmerized picturesque beauty gregarious people inhabit place,141,"['jhargram', 'small', 'city', 'located', 'state', 'west', 'bengal', 'rich', 'historical', 'cultural', 'background', 'surrounded', 'dense', 'forests', 'place', 'mystical', 'perfect', 'place', 'spend', 'days', 'lap', 'nature', 'surrounded', 'friendly', 'tribal', 'population', 'bound', 'mesmerized', 'picturesque', 'beauty', 'gregarious', 'people', 'inhabit', 'place']"
baabur haat,,kolkata,dominated natural fishing lakes bheris responsible producing tastiest fish west bengal babur haat nature paradise fishing one popular activities also go short picnic trip nearby local village grounds,8,"['dominated', 'natural', 'fishing', 'lakes', 'bheris', 'responsible', 'producing', 'tastiest', 'fish', 'west', 'bengal', 'babur', 'haat', 'nature', 'paradise', 'fishing', 'one', 'popular', 'activities', 'also', 'go', 'short', 'picnic', 'trip', 'nearby', 'local', 'village', 'grounds']"
kamarpukur,,kolkata,cluster small villages kamarpukur nestled vishnupur tarakeshwar birthplace pious sagacious saint sri ramkrishna paramhansa village perfect getaway pellmell cities village able enjoy pleasures simple rural life,81,"['cluster', 'small', 'villages', 'kamarpukur', 'nestled', 'vishnupur', 'tarakeshwar', 'birthplace', 'pious', 'sagacious', 'saint', 'sri', 'ramkrishna', 'paramhansa', 'village', 'perfect', 'getaway', 'pellmell', 'cities', 'village', 'able', 'enjoy', 'pleasures', 'simple', 'rural', 'life']"
deulti,,kolkata,situated bank river roopnarayan deulti provides ideal picnic spot bird lover keep eye read ear chirps different birds take walk clay paths villages,48,"['situated', 'bank', 'river', 'roopnarayan', 'deulti', 'provides', 'ideal', 'picnic', 'spot', 'bird', 'lover', 'keep', 'eye', 'read', 'ear', 'chirps', 'different', 'birds', 'take', 'walk', 'clay', 'paths', 'villages']"
hooghly riverfront,,kolkata,picturesque hooghly riverfront situated along two banks river hooghly west bengal kolkata east howrah west mighty river offers mesmerising sunrise sunset views beautification east promenade 2011 spot become major tourist attraction,60,"['picturesque', 'hooghly', 'riverfront', 'situated', 'along', 'two', 'banks', 'river', 'hooghly', 'west', 'bengal', 'kolkata', 'east', 'howrah', 'west', 'mighty', 'river', 'offers', 'mesmerising', 'sunrise', 'sunset', 'views', 'beautification', 'east', 'promenade', '2011', 'spot', 'become', 'major', 'tourist', 'attraction']"
